vanus,D,N,sugu
0,14,7269,m
1,5,7341,m
2,3,7388,m
3,0,7217,m
4,2,7089,m
5,0,7196,m
6,1,7445,m
7,1,7857,m
8,2,7989,m
9,0,7952,m
10,1,7932,m
11,0,7645,m
12,0,7342,m
13,1,7019,m
14,2,6571,m
15,2,6324,m
16,1,6263,m
17,4,6355,m
18,4,6221,m
19,8,5963,m
20,4,6105,m
21,2,6496,m
22,2,6749,m
23,3,6891,m
24,7,7348,m
25,9,8192,m
26,11,8773,m
27,7,9488,m
28,6,10379,m
29,10,10689,m
30,10,10763,m
31,10,10495,m
32,15,10112,m
33,16,10040,m
34,19,10050,m
35,16,9793,m
36,17,9595,m
37,17,9506,m
38,20,9317,m
39,25,9225,m
40,22,9298,m
41,23,9407,m
42,35,9314,m
43,29,9172,m
44,25,9165,m
45,47,9280,m
46,52,9399,m
47,38,9270,m
48,45,8980,m
49,41,8682,m
50,38,8200,m
51,54,7919,m
52,56,7945,m
53,82,8096,m
54,74,8266,m
55,99,8369,m
56,91,8473,m
57,104,8491,m
58,129,8362,m
59,141,8106,m
60,124,7833,m
61,157,7584,m
62,150,7541,m
63,158,7472,m
64,154,7065,m
65,167,6799,m
66,161,6589,m
67,175,6227,m
68,200,6116,m
69,201,5884,m
70,197,5423,m
71,205,4961,m
72,178,4069,m
73,173,3472,m
74,139,3324,m
75,173,3490,m
76,206,3882,m
77,213,3733,m
78,234,3381,m
79,216,3171,m
80,218,2942,m
81,218,2669,m
82,196,2246,m
83,183,1823,m
84,160,1575,m
85,213,1466,m
86,166,1339,m
87,176,1158,m
88,143,930,m
89,163,728,m
90,110,579,m
91,88,418,m
92,70,305,m
93,66,217,m
94,47,144,m
95,32,98,m
96,28,60,m
97,18,33,m
98,11,12,m
99,7,12,m
100,5,12,m
0,9,6825,n
1,1,6714,n
2,1,6834,n
3,0,6863,n
4,2,6845,n
5,0,6884,n
6,0,7031,n
7,1,7385,n
8,0,7636,n
9,0,7633,n
10,2,7525,n
11,1,7184,n
12,0,6774,n
13,2,6584,n
14,1,6356,n
15,4,6146,n
16,1,5977,n
17,2,5892,n
18,1,5857,n
19,0,5702,n
20,1,5773,n
21,0,6208,n
22,0,6500,n
23,1,6650,n
24,2,6923,n
25,3,7539,n
26,1,8109,n
27,2,8578,n
28,5,9328,n
29,4,9683,n
30,3,9712,n
31,5,9457,n
32,3,9240,n
33,7,9337,n
34,6,9344,n
35,6,9163,n
36,6,8954,n
37,11,8847,n
38,5,8773,n
39,9,8694,n
40,8,8733,n
41,5,8868,n
42,10,8880,n
43,12,8885,n
44,10,8867,n
45,9,8916,n
46,13,9136,n
47,10,9228,n
48,17,9100,n
49,19,8793,n
50,19,8445,n
51,27,8312,n
52,28,8401,n
53,23,8659,n
54,23,8780,n
55,30,8978,n
56,31,9438,n
57,39,9678,n
58,48,9617,n
59,42,9486,n
60,42,9408,n
61,73,9411,n
62,66,9504,n
63,59,9539,n
64,60,9268,n
65,96,9123,n
66,103,9259,n
67,105,9052,n
68,100,9084,n
69,131,9005,n
70,137,8425,n
71,140,7906,n
72,134,6786,n
73,113,6002,n
74,95,5822,n
75,136,6253,n
76,191,7457,n
77,223,7514,n
78,238,7204,n
79,255,7204,n
80,292,7033,n
81,341,6445,n
82,302,5597,n
83,288,4921,n
84,322,4389,n
85,330,4281,n
86,370,4064,n
87,377,3506,n
88,396,3104,n
89,407,2712,n
90,385,2262,n
91,308,1749,n
92,280,1361,n
93,250,1047,n
94,216,807,n
95,132,572,n
96,122,368,n
97,77,209,n
98,45,115,n
99,30,81,n
100,52,109,n